Human_date,Channel,kwh,db_date,
2/12/2019 19:00,10,1.225,2019-02-12 19:00:00,
2/12/2019 20:00,10,1.187,2019-02-12 20:00:00,
2/12/2019 21:00,10,3.406,2019-02-12 21:00:00,
2/12/2019 22:00,10,3.809,2019-02-12 22:00:00,
2/12/2019 23:00,10,5.367,2019-02-12 23:00:00,
2/13/2019 0:00,10,0.727,2019-02-13 00:00:00,
2/13/2019 1:00,10,0.708,2019-02-13 01:00:00,
2/13/2019 2:00,10,0.584,2019-02-13 02:00:00,
2/13/2019 3:00,10,0.625,2019-02-13 03:00:00,
2/13/2019 4:00,10,0.554,2019-02-13 04:00:00,
2/13/2019 5:00,10,0.771,2019-02-13 05:00:00,
2/13/2019 6:00,10,0.846,2019-02-13 06:00:00,
2/13/2019 7:00,10,0.722,2019-02-13 07:00:00,
2/13/2019 8:00,10,1.107,2019-02-13 08:00:00,
2/13/2019 9:00,10,2.516,2019-02-13 09:00:00,
2/13/2019 10:00,10,5.358,2019-02-13 10:00:00,
2/13/2019 11:00,10,1.356,2019-02-13 11:00:00,
2/13/2019 12:00,10,5.183,2019-02-13 12:00:00,
2/13/2019 13:00,10,1.161,2019-02-13 13:00:00,
2/13/2019 14:00,10,0.854,2019-02-13 14:00:00,
2/13/2019 15:00,10,0.971,2019-02-13 15:00:00,
2/13/2019 16:00,10,5.305,2019-02-13 16:00:00,
2/13/2019 17:00,10,1.704,2019-02-13 17:00:00,
2/13/2019 18:00,10,1.382,2019-02-13 18:00:00,
2/13/2019 19:00,10,2.079,2019-02-13 19:00:00,
2/13/2019 20:00,10,2.602,2019-02-13 20:00:00,
2/13/2019 21:00,10,1.45,2019-02-13 21:00:00,
2/13/2019 22:00,10,1.062,2019-02-13 22:00:00,
2/13/2019 23:00,10,1.609,2019-02-13 23:00:00,
2/14/2019 0:00,10,1.518,2019-02-14 00:00:00,
2/14/2019 1:00,10,0.975,2019-02-14 01:00:00,
2/14/2019 2:00,10,0.961,2019-02-14 02:00:00,
2/14/2019 3:00,10,0.931,2019-02-14 03:00:00,
2/14/2019 4:00,10,0.948,2019-02-14 04:00:00,
2/14/2019 5:00,10,0.843,2019-02-14 05:00:00,
2/14/2019 6:00,10,0.916,2019-02-14 06:00:00,
2/14/2019 7:00,10,0.948,2019-02-14 07:00:00,
2/14/2019 8:00,10,1.317,2019-02-14 08:00:00,
2/14/2019 9:00,10,0.823,2019-02-14 09:00:00,
2/14/2019 10:00,10,0.788,2019-02-14 10:00:00,
2/14/2019 11:00,10,0.893,2019-02-14 11:00:00,
2/14/2019 12:00,10,0.721,2019-02-14 12:00:00,
2/14/2019 13:00,10,0.78,2019-02-14 13:00:00,
2/14/2019 14:00,10,0.755,2019-02-14 14:00:00,
2/14/2019 15:00,10,1.04,2019-02-14 15:00:00,
2/14/2019 16:00,10,0.937,2019-02-14 16:00:00,
2/14/2019 17:00,10,1.185,2019-02-14 17:00:00,
2/14/2019 18:00,10,1.234,2019-02-14 18:00:00,
2/14/2019 19:00,10,1.173,2019-02-14 19:00:00,
2/14/2019 20:00,10,2.18,2019-02-14 20:00:00,
2/14/2019 21:00,10,0.757,2019-02-14 21:00:00,
2/14/2019 22:00,10,1.25,2019-02-14 22:00:00,
2/14/2019 23:00,10,1.213,2019-02-14 23:00:00,
2/15/2019 0:00,10,0.962,2019-02-15 00:00:00,
2/15/2019 1:00,10,0.723,2019-02-15 01:00:00,
2/15/2019 2:00,10,0.772,2019-02-15 02:00:00,
2/15/2019 3:00,10,0.679,2019-02-15 03:00:00,
2/15/2019 4:00,10,0.811,2019-02-15 04:00:00,
2/15/2019 5:00,10,0.721,2019-02-15 05:00:00,
2/15/2019 6:00,10,0.751,2019-02-15 06:00:00,
2/15/2019 7:00,10,0.876,2019-02-15 07:00:00,
2/15/2019 8:00,10,1.79,2019-02-15 08:00:00,
2/15/2019 9:00,10,0.677,2019-02-15 09:00:00,
2/15/2019 10:00,10,0.748,2019-02-15 10:00:00,
2/15/2019 11:00,10,0.723,2019-02-15 11:00:00,
2/15/2019 12:00,10,0.732,2019-02-15 12:00:00,
2/15/2019 13:00,10,0.735,2019-02-15 13:00:00,
2/15/2019 14:00,10,0.692,2019-02-15 14:00:00,
2/15/2019 15:00,10,0.835,2019-02-15 15:00:00,
2/15/2019 16:00,10,0.861,2019-02-15 16:00:00,
2/15/2019 17:00,10,0.97,2019-02-15 17:00:00,
2/15/2019 18:00,10,1.617,2019-02-15 18:00:00,
2/15/2019 19:00,10,1.319,2019-02-15 19:00:00,
